turbine_id,target_time_utc,reason
turbine_1,2025-12-31T19:00:00+00:00,outside_issue_schedule
turbine_1,2025-12-31T20:00:00+00:00,outside_issue_schedule
turbine_1,2025-12-31T21:00:00+00:00,outside_issue_schedule
turbine_1,2025-12-31T22:00:00+00:00,outside_issue_schedule
turbine_1,2025-12-31T23:00:00+00:00,outside_issue_schedule
turbine_1,2026-01-01T00:00:00+00:00,outside_issue_schedule
turbine_1,2026-01-01T01:00:00+00:00,outside_issue_schedule
turbine_1,2026-01-01T02:00:00+00:00,outside_issue_schedule
turbine_1,2026-01-01T03:00:00+00:00,outside_issue_schedule
turbine_1,2026-01-01T04:00:00+00:00,outside_issue_schedule
turbine_1,2026-01-01T05:00:00+00:00,outside_issue_schedule
turbine_1,2026-01-01T06:00:00+00:00,outside_issue_schedule
turbine_1,2026-01-01T07:00:00+00:00,outside_issue_schedule
turbine_1,2026-01-01T08:00:00+00:00,outside_issue_schedule
turbine_1,2026-01-01T09:00:00+00:00,outside_issue_schedule
turbine_1,2026-01-01T10:00:00+00:00,outside_issue_schedule
turbine_1,2026-01-01T11:00:00+00:00,outside_issue_schedule
turbine_1,2026-01-01T12:00:00+00:00,outside_issue_schedule
turbine_2,2025-12-31T19:00:00+00:00,outside_issue_schedule
turbine_2,2025-12-31T20:00:00+00:00,outside_issue_schedule
turbine_2,2025-12-31T21:00:00+00:00,outside_issue_schedule
turbine_2,2025-12-31T22:00:00+00:00,outside_issue_schedule
turbine_2,2025-12-31T23:00:00+00:00,outside_issue_schedule
turbine_2,2026-01-01T00:00:00+00:00,outside_issue_schedule
turbine_2,2026-01-01T01:00:00+00:00,outside_issue_schedule
turbine_2,2026-01-01T02:00:00+00:00,outside_issue_schedule
turbine_2,2026-01-01T03:00:00+00:00,outside_issue_schedule
turbine_2,2026-01-01T04:00:00+00:00,outside_issue_schedule
turbine_2,2026-01-01T05:00:00+00:00,outside_issue_schedule
turbine_2,2026-01-01T06:00:00+00:00,outside_issue_schedule
turbine_2,2026-01-01T07:00:00+00:00,outside_issue_schedule
turbine_2,2026-01-01T08:00:00+00:00,outside_issue_schedule
turbine_2,2026-01-01T09:00:00+00:00,outside_issue_schedule
turbine_2,2026-01-01T10:00:00+00:00,outside_issue_schedule
turbine_2,2026-01-01T11:00:00+00:00,outside_issue_schedule
turbine_2,2026-01-01T12:00:00+00:00,outside_issue_schedule
