month,mean,count
2023-03,0.34319775132275127,504
2023-04,0.46722046109510085,694
2023-05,0.3669767025089605,744
2023-06,0.3146145209580838,668
2023-07,0.30816168478260864,736
2023-08,0.25931899641577055,744
2023-09,0.2531775614279091,719
2023-10,0.3828981355161436,733
2023-11,0.49904828226555237,718
2023-12,0.5135962059620596,738
2024-01,0.4528499775078722,741
2024-02,0.43536731634182907,667
2024-03,0.4199551971326164,744
2024-04,0.3848673184357541,716
2024-05,0.4399214390602055,681
2024-06,0.2309883774988377,717
2024-07,0.24375424117377345,727
2024-08,0.23059990978800177,739
2024-09,0.3771967592592592,720
2024-10,0.4056872146118721,730
2024-11,0.4218912037037036,720
2024-12,0.4766330192911619,743
2025-01,0.3270497311827957,744
2025-02,0.3154522738630684,667
2025-03,0.49504399092970514,735
2025-04,0.38924410774410767,693
2025-05,0.385112676056338,710
2025-06,0.3350285179990649,713
2025-07,0.2590601976639712,742
