,mean_normalized_power,mean_measured_wind_speed,mean_measured_temperature
count,20647.0,20647.0,20647.0
mean,0.37024718683908875,6.506320587333107,16.94330167417381
std,0.35898630600470516,3.724349226795361,12.379312591188715
min,0.0,0.2266666666666666,-18.648333333333337
5%,0.01,1.2554999999999998,-3.72
25%,0.0333333333333333,3.305833333333333,6.990833333333333
50%,0.2316666666666666,6.158333333333334,18.34
75%,0.7116666666666664,9.443333333333332,26.95
95%,0.9699999999999998,12.781666666666666,35.137
max,0.9916666666666668,19.211666666666662,43.22333333333333
