month,mean,count
2023-03,0.3422850529100529,504
2023-04,0.4626773296244784,719
2023-05,0.3702822580645161,744
2023-06,0.30378240740740736,720
2023-07,0.2750963364993215,737
2023-08,0.2601456093189964,744
2023-09,0.2583634677793231,719
2023-10,0.38376080036380167,733
2023-11,0.445275069637883,718
2023-12,0.5195094086021506,744
2024-01,0.4585327060931899,744
2024-02,0.45422174329501913,696
2024-03,0.4259587813620071,744
2024-04,0.3892155493482308,716
2024-05,0.46004530744336564,412
2024-06,0.49055555555555547,6
2024-07,0.2269970845481049,343
2024-08,0.22595302619692859,738
2024-09,0.3806247086247086,715
2024-10,0.4110013698630136,730
2024-11,0.45312731481481483,720
2024-12,0.48104979811574694,743
2025-01,0.32821012544802863,744
2025-02,0.35145927036481756,667
2025-03,0.5034115646258503,735
2025-04,0.3942788051209104,703
2025-05,0.3397,710
2025-06,0.3124130434782608,713
2025-07,0.2576361185983827,742
