turbine,model,month,rows,mae,rmse,r2
turbine_1,Linear Regression,2025-08,739,0.06287874184801764,0.07645833279593069,0.9335733995923194
turbine_1,Linear Regression,2025-09,720,0.0696886562835808,0.0827107256332169,0.9404677595952642
turbine_1,Linear Regression,2025-10,693,0.08490810171729661,0.09945365468870258,0.9106867840105979
turbine_1,Linear Regression,2025-11,720,0.08942679714259977,0.10295693231947224,0.9251191322922954
turbine_1,Linear Regression,2025-12,744,0.10669229358106057,0.12821922651413406,0.8878740278906276
turbine_1,Linear Regression,2026-01,744,0.10272956675355337,0.12025807426556186,0.8728869583360747
turbine_1,Random Forest,2025-08,739,0.022275671836109408,0.04098690523484848,0.9809110238991183
turbine_1,Random Forest,2025-09,720,0.01944966178325144,0.036230711803502236,0.9885769442117578
turbine_1,Random Forest,2025-10,693,0.014647374571824757,0.034611276969689526,0.9891829340127845
turbine_1,Random Forest,2025-11,720,0.01987593673725402,0.0345206613968432,0.9915818260360946
turbine_1,Random Forest,2025-12,744,0.027883946185117345,0.054897541905623036,0.9794455569358754
turbine_1,Random Forest,2026-01,744,0.02420046463838361,0.05006728453042527,0.9779671998174251
turbine_1,CatBoost,2025-08,739,0.02189967915778845,0.03876372100858099,0.9829256846858331
turbine_1,CatBoost,2025-09,720,0.018774896426290585,0.03471229460330265,0.9895143535349353
turbine_1,CatBoost,2025-10,693,0.013905189066219584,0.033579664710157865,0.9898181441437698
turbine_1,CatBoost,2025-11,720,0.019312671230004363,0.032453058625582905,0.9925600340316032
turbine_1,CatBoost,2025-12,744,0.02729225984072017,0.053821577307900596,0.98024337492285
turbine_1,CatBoost,2026-01,744,0.024159214804982225,0.049355780565335454,0.9785889645625712
turbine_2,Linear Regression,2025-08,739,0.0631891363631593,0.07689070179706801,0.9332707284077325
turbine_2,Linear Regression,2025-09,720,0.07139388450635242,0.08415507091395759,0.9383824643583956
turbine_2,Linear Regression,2025-10,693,0.08744193534772238,0.10302563673296862,0.9053624837180948
turbine_2,Linear Regression,2025-11,720,0.08945927220371273,0.10326719413767467,0.9240124679254182
turbine_2,Linear Regression,2025-12,741,0.11338993186022484,0.14899238235993167,0.8466306682693032
turbine_2,Linear Regression,2026-01,744,0.10736230797049973,0.12770932736202348,0.8569101493736581
turbine_2,Random Forest,2025-08,739,0.01622398931896932,0.03390170447190517,0.9870278547757523
turbine_2,Random Forest,2025-09,720,0.01554249363602496,0.03027605255297149,0.9920247878392517
turbine_2,Random Forest,2025-10,693,0.015488380781608772,0.035971423556267014,0.9884631307753148
turbine_2,Random Forest,2025-11,720,0.016505364530554834,0.02692548994121867,0.9948341140382848
turbine_2,Random Forest,2025-12,741,0.0341332678386402,0.09372821802461667,0.9393052514247955
turbine_2,Random Forest,2026-01,744,0.026722478497424897,0.06478348628546764,0.963179284239538
turbine_2,CatBoost,2025-08,739,0.01616071976857431,0.03290560301740958,0.9877789522087165
turbine_2,CatBoost,2025-09,720,0.014505957523914037,0.029072804911956483,0.9926461018197348
turbine_2,CatBoost,2025-10,693,0.015025323993600922,0.03508682815007043,0.989023574379166
turbine_2,CatBoost,2025-11,720,0.015539767612640393,0.024712274867652758,0.9956484594246331
turbine_2,CatBoost,2025-12,741,0.03351232982668536,0.0935601110189972,0.9395227752959933
turbine_2,CatBoost,2026-01,744,0.026404246870254888,0.06520691980748415,0.9626963809845968
