hour,mean,count
0,0.36163177339901476,812
1,0.35696801968019676,813
2,0.35759122591225906,813
3,0.36194874948749484,813
4,0.3517138752052545,812
5,0.34444458128078814,812
6,0.34813628899835797,812
7,0.3414948686371099,812
8,0.34881915330867236,811
9,0.36816790123456783,810
10,0.38830078285949726,809
11,0.4036253650396328,799
12,0.4099437473860309,797
13,0.3954229480737018,796
14,0.3895898078529657,798
15,0.394017521902378,799
16,0.38833541147132167,802
17,0.38543708745874583,808
18,0.4011999178981937,812
19,0.4093764899301274,811
20,0.40052955665024625,812
21,0.38459819598195977,813
22,0.371660516605166,813
23,0.36354217854217846,814
